Genome	Domain	Phylum	Class	Order	Family	Genus	Species	GC Content	Genome Length
MGYG000000048	Bacteria	Firmicutes_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium_P	Clostridium_P ventriculi	27.23	2457263
MGYG000000049	Bacteria	Firmicutes_A	Clostridia	Peptostreptococcales	Peptostreptococcaceae	GCA-900066495	GCA-900066495 sp900066495	27.6	3390789
MGYG000000050	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A	Blautia_A sp900066505	43.05	3891993
MGYG000000051	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Anaerosacchariphilus	Anaerosacchariphilus sp900066385	49.83	3561714
MGYG000000052	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Anaerostipes	Anaerostipes sp000508985	43.76	3276064
MGYG000000053	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes sp002358415	64.57	2187878
MGYG000000054	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides acidifaciens	43.28	5218912
MGYG000000055	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculum	Muribaculum intestinale	49.86	3238347
MGYG000000056	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculum	Muribaculum sp002358615	47.69	3326589
MGYG000000057	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp002491635	45.91	4372611
MGYG000000058	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium_I	Eubacterium_I sp900066595	42.43	3452403
MGYG000000059	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	Lawsonibacter sp900066645	56.3	2891162
MGYG000000060	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira	Lachnospira eligens_A	37.94	3237417
MGYG000000061	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella aerofaciens_E	60.01	2187920
MGYG000000062	Bacteria	Firmicutes_A	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Intestinibacter	Intestinibacter bartlettii	28.59	3141706
MGYG000000063	Bacteria	Firmicutes_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	Emergencia	Emergencia sp900066695	45.09	4295701
MGYG000000064	Bacteria	Firmicutes_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium baratii	28.08	3141705
MGYG000000065	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Anaerostipes	Anaerostipes sp900066705	37.68	3036595
MGYG000000066	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	GCA-900066755	GCA-900066755 sp900066755	48.7	5880143
MGYG000000067	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium_B	Lachnoclostridium_B sp900066765	43.6	3714607
MGYG000000068	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Butyricicoccaceae	Agathobaculum	Agathobaculum sp900291975	56.95	2999081
MGYG000000069	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Clostridium_A	Clostridium_A leptum	49.96	3104058
MGYG000000070	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	Lawsonibacter sp900066825	57.07	3815973
MGYG000000071	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Pseudoflavonifractor	Pseudoflavonifractor capillosus	59.27	3929849
MGYG000000072	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	UBA1394	UBA1394 sp900066845	36.89	2657141
MGYG000000073	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	GCA-900066905	GCA-900066905	GCA-900066905 sp900066905	56.64	2617416
MGYG000000074	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes onderdonkii	58.14	3215546
MGYG000000075	Bacteria	Firmicutes_A	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Paraclostridium	Paraclostridium tenue	26.94	3147737
MGYG000000076	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	Roseburia intestinalis	42.37	4322432
MGYG000000077	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Anaerobutyricum	Anaerobutyricum soehngenii	37.84	3191314
MGYG000000078	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira	Lachnospira rogosae_A	36.48	3035220
MGYG000000079	Bacteria	Firmicutes	Bacilli	Exiguobacterales	Exiguobacteraceae	Exiguobacterium	Exiguobacterium sp902362975	47.8	2828368
MGYG000000080	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Anaerostipes	Anaerostipes caccae	44.34	3257633
MGYG000000081	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Corynebacterium	Corynebacterium propinquum	56.48	2504704
MGYG000000082	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter mesopotamicus	42.69	3378741
MGYG000000083	Bacteria	Firmicutes	Bacilli	Bacillales_B	DSM-1321	Peribacillus	Peribacillus simplex	39.6	5860430
MGYG000000084	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Gemmiger	Gemmiger formicilis	58.11	3012248
MGYG000000085	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella aerofaciens_F	59.86	2099732
MGYG000000086	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	Lawsonibacter sp902363045	58.78	3355718
MGYG000000087	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-81	CAG-81 sp000435795	51.8	3398250
MGYG000000088	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus lutetiensis	37.52	1948071
MGYG000000089	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	CAG-353	CAG-353 sp900066885	46.51	3052732
MGYG000000090	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	Lawsonibacter sp014287875	57.87	3326194
MGYG000000091	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Achromobacter	Achromobacter xylosoxidans	67.55	6684403
MGYG000000092	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA7160	UBA7160 sp902363135	48.28	3774627
MGYG000000093	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella_A	Klebsiella_A grimontii	55.62	6212872
MGYG000000094	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp902363125	60.06	2278136
MGYG000000095	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	GCA-900066755	GCA-900066755 sp902363085	48.25	5524596
MGYG000000096	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc pseudomesenteroides	38.74	2296823
MGYG000000097	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus	Ligilactobacillus animalis	41.09	1849821
MGYG000000098	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides bouchesdurhonensis	39.37	4868482
MGYG000000099	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Flavonifractor	Flavonifractor plautii	60	4030172
MGYG000000100	Bacteria	Firmicutes_C	Negativicutes	Selenomonadales	Massilibacillaceae	CABIZH01	CABIZH01 sp902363205	35.27	2685359
MGYG000000101	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Micrococcaceae	Micrococcus	Micrococcus luteus	72.94	2543735
MGYG000000102	Bacteria	Firmicutes_A	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Terrisporobacter	Terrisporobacter sp902363255	28.37	3838863
MGYG000000103	Bacteria	Firmicutes_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	Bacilliculturomica	Bacilliculturomica massiliensis	54.98	4467427
MGYG000000104	Bacteria	Firmicutes_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium cuniculi	27.9	3679184
MGYG000000105	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides clarus	45.47	3966587
MGYG000000106	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_D	Enterococcus_D gallinarum	40.69	3151426
MGYG000000107	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella_A	Klebsiella_A oxytoca	55.22	5860621
MGYG000000108	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter freundii	51.77	4739968
MGYG000000109	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sp004166885	42.09	2017290
MGYG000000110	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Kluyvera	Kluyvera sp902363335	52.87	4775714
MGYG000000111	Bacteria	Actinobacteriota	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes	60.05	2484103
MGYG000000112	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces sp900323545	68.4	3112947
MGYG000000113	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus salivarius	39.74	2252077
MGYG000000114	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sp902363395	42.18	2012836
MGYG000000115	Bacteria	Firmicutes_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium_J	Clostridium_J sp902363375	29.91	3522150
MGYG000000116	Bacteria	Firmicutes	Bacilli	Exiguobacterales	Exiguobacteraceae	Exiguobacterium_A	Exiguobacterium_A sp902363455	47	3094362
MGYG000000117	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella	Barnesiella sp003150885	40.25	3354558
MGYG000000118	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	NSJ-38	NSJ-38 sp902363445	49.05	3130601
MGYG000000119	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	Blautia sp000432195	40.97	3510321
MGYG000000120	Bacteria	Firmicutes_A	Clostridia	Tissierellales	Peptoniphilaceae	Peptoniphilus_A	Peptoniphilus_A harei_A	34.09	2173494
MGYG000000121	Bacteria	Firmicutes_A	Clostridia	Eubacteriales	Eubacteriaceae	Eubacterium	Eubacterium callanderi	47.47	4357692
MGYG000000122	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis	31.93	2560878
MGYG000000123	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	Blautia sp001304935	46.86	5803850
MGYG000000124	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter youngae	51.76	5038141
MGYG000000125	Bacteria	Firmicutes_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium_B	Clostridium_B tyrobutyricum	30.74	3256635
MGYG000000126	Bacteria	Firmicutes_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	BX12	BX12 sp902363595	47.21	4489646
MGYG000000127	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Catenibacillus	Catenibacillus sp902363555	47.45	6637753
MGYG000000128	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes sp902363575	58.46	2906288
MGYG000000129	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Marseille-P4683	Marseille-P4683 sp900232885	50.3	2720267
MGYG000000130	Bacteria	Firmicutes_A	Clostridia	Tissierellales	Peptoniphilaceae	Peptoniphilus_C	Peptoniphilus_C sp902363535	48.9	1967735
MGYG000000131	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Anaerotruncus	Anaerotruncus rubiinfantis	55.39	3306065
MGYG000000132	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Beduini	Beduini sp902363625	35.73	2897757
MGYG000000133	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A	Blautia_A caecimuris	43.42	3329407
MGYG000000134	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Longibaculum	Longibaculum muris	30.14	3163173
MGYG000000135	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Murimonas	Murimonas intestini	45.45	5745043
MGYG000000136	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter	Agathobacter sp000434275	41.15	3864718
MGYG000000137	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA7160	UBA7160 sp902363665	47.02	4141858
MGYG000000138	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides johnsonii	45.08	4918317
MGYG000000139	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium_G	Eubacterium_G sp000434315	33.09	2758171
MGYG000000140	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UMGS1375	UMGS1375 sp900066615	43.67	3540083
MGYG000000141	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA7182	UBA7182 sp003480725	44.93	3466199
MGYG000000142	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A	Blautia_A massiliensis	44.02	3538621
MGYG000000143	Bacteria	Firmicutes	Bacilli	Haloplasmatales_A	Turicibacteraceae	Turicibacter	Turicibacter sanguinis	34.12	2958631
MGYG000000144	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella	Barnesiella intestinihominis	43.6	3315322
MGYG000000145	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Lacrimispora	Lacrimispora sp902363735	42.89	4646421
MGYG000000146	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	Dorea formicigenerans	41.17	3357525
MGYG000000147	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus paralicheniformis	45.92	4371606
MGYG000000148	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Faecalimonas	Faecalimonas phoceensis	40.22	2855693
MGYG000000149	Bacteria	Firmicutes_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium saudiense	27.91	3780856
MGYG000000150	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Hungatella	Hungatella sp005845265	47.98	7470188
MGYG000000151	Bacteria	Firmicutes_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium paraputrificum	29.7	3486414
MGYG000000152	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Lacrimispora	Lacrimispora sp902363835	43.98	6260411
MGYG000000153	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-45	CAG-45 sp000438375	46.45	2962513
MGYG000000154	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	RUG115	RUG115 sp900066395	40.74	3005736
MGYG000000155	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	Weissella confusa	44.59	2346332
MGYG000000156	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp002232035	59.83	2287507
MGYG000000157	Bacteria	Firmicutes_A	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Paraclostridium	Paraclostridium sordellii	27.46	3458647
MGYG000000158	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp003436275	59.88	2308647
MGYG000000159	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Sellimonas	Sellimonas intestinalis	45.17	3206689
MGYG000000160	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp003479805	61.38	2098592
MGYG000000161	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus amylovorus	37.84	2049854
MGYG000000162	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_B	Enterococcus_B durans	37.96	3083830
MGYG000000163	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_C	Enterococcus_C asini	44.53	2560730
MGYG000000164	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Mediterraneibacter_A	Mediterraneibacter_A butyricigenes	43.85	3102690
MGYG000000165	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Extibacter	Extibacter muris	49.54	3900136
MGYG000000166	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus fermentum	51.96	1968193
MGYG000000167	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp002232035	59.73	2290750
MGYG000000168	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Butyricimonas	Butyricimonas sp003479425	43.74	5206690
MGYG000000169	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium_G	Eubacterium_G sp000432355	35.82	2837000
MGYG000000170	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes_A	Alistipes_A sp900240235	54.2	3119159
MGYG000000171	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A	Blautia_A sp900120195	42.4	3528951
MGYG000000172	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster	Enterocloster lavalensis	55.42	6502696
MGYG000000173	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Bulleidia	Bulleidia moorei	36.92	1989891
MGYG000000174	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides faecis	43.02	6515109
MGYG000000175	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Muricomes	Muricomes sp000509105	45.98	5056031
MGYG000000176	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Muricomes	Muricomes oroticus	44.56	5921605
MGYG000000177	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Anaerotignaceae	Anaerotignum	Anaerotignum faecicola	47.53	2531065
MGYG000000178	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	Lawsonibacter sp003478995	58.63	3124708
MGYG000000179	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster	Enterocloster aldenensis	50.17	6045490
MGYG000000180	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp003459505	59.8	2452967
MGYG000000181	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA9414	UBA9414 sp003458885	40.91	2690153
MGYG000000182	Bacteria	Firmicutes_C	Negativicutes	Selenomonadales	Selenomonadaceae	Mitsuokella	Mitsuokella sp003458855	56.57	2580820
MGYG000000183	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Butyricimonas	Butyricimonas paravirosa	42.89	5449445
MGYG000000184	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A	Blautia_A luti	42.43	3628655
